ID,name,school,subschool,descriptor,spell_level,casting_time,components,costly_components,range,area,effect,targets,duration,dismissible,shapeable,saving_throw,spell_resistence,description,description_formated,,full_text,verbal,somatic,material,focus,divine_focus,sor,wiz,cleric,druid,ranger,bard,paladin,alchemist,summoner,witch,inquisitor,oracle,antipaladin,magus,deity,SLA_Level,domain,short_description,majorcaster_cost_mult,powercaster_cost_mult,caster_cost_mult,minorcaster_cost_mult,best_spell_cost,material_cost,scroll_cost,potion_cost,wand_cost,URL
24,Arcane Mark,Universal,NULL,NULL,"sorcerer/wizard 0, summoner 0, magus 0",1 standard action,"V, S",0,Touch,NULL,"One personal rune or mark, all of which must fit within 1 sq. ft.",NULL,Permanent,0,0,None,No,"This spell allows you to inscribe your personal rune or mark, which can consist of no more than six characters. The writing can be visible or invisible. An arcane mark spell enables you to etch the rune upon any substance without harm to the material upon","<p>This spell allows you to inscribe your personal rune or mark, which can consist of no more than six characters. The writing can be visible or invisible. An <i>arcane mark</i> spell enables you to etch the rune upon any substance without harm to the mat",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Arcane Mark</p><div style=`clear: both;`></div></div><div><h5><b>School </b>universal; <b>Level </b>sorcerer/wizard 0, summoner 0, magus 0</h5><h5><b>Casting Time </b>1 standard",1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,NULL,0,NULL,Inscribes a personal rune on an object or creature (visible or invisible).,0,0,0,NULL,0,NULL,12,25,375,http://www.d20pfsrd.com/magic/all-spells/a/arcane-mark
25,Arcane Sight,Divination,NULL,NULL,"sorcerer/wizard 3, witch 3, inquisitor 3, alchemist 3, magus 3",1 standard action,"V, S",0,Personal,NULL,NULL,You,1 min./level,1,0,None,No,"This spell makes your eyes glow blue and allows you to see magical auras within 120 feet of you. The effect is similar to that of a detect magic spell, but arcane sight does not require concentration and discerns aura location and power more quickly. You ","<p>This spell makes your eyes glow blue and allows you to see magical auras within 120 feet of you. The effect is similar to that of a <i>detect magic</i> spell, but <i>arcane sight</i> does not require concentration and discerns aura location and power m",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Arcane Sight </p><div style=`clear: both;`></div></div><div><h5><b>School </b>divination; <b>Level </b>sorcerer/wizard 3, alchemist 3, witch 3, inquisitor 3</h5><h5><b>Casting T",1,1,0,0,0,3,3,NULL,NULL,NULL,NULL,NULL,3,NULL,3,3,NULL,NULL,3,NULL,3,NULL,Magical auras become visible to you.,15,18,15,21,15,NULL,375,750,11250,http://www.d20pfsrd.com/magic/all-spells/a/arcane-sight
26,"Arcane Sight, Greater",Divination,NULL,NULL,"sorcerer/wizard 7, witch 7",1 standard action,"V, S",0,Personal,NULL,NULL,You,1 min./level,1,0,None,No,"This spell functions like arcane sight, except that you automatically know which spells or magical effects are active upon any individual or object you see. Unlike arcane sight, this spell cannot be made permanent with a permanency spell.","<p>This spell functions like <i>arcane sight</i>, except that you automatically know which spells or magical effects are active upon any individual or object you see.</p><p>Unlike <i>arcane sight</i>, this spell cannot be made permanent with a <i>permanen",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Arcane Sight, Greater </p><div style=`clear: both;`></div></div><div><h5><b>School </b>divination; <b>Level </b>sorcerer/wizard 7, witch 7</h5><h5><b>Casting Time </b>1 standard",1,1,0,0,0,7,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,7,NULL,"As arcane sight, but also reveals magic effects on creatures and objects.",91,98,NULL,NULL,91,NULL,2275,4550,68250,http://www.d20pfsrd.com/magic/all-spells/a/arcane-sight#TOC-Arcane-Sight-Greater
27,Astral Projection,Necromancy,NULL,NULL,"cleric 9, sorcerer/wizard 9, witch 9",30 minutes,"V, S, M (1,000 gp jacinth)",1,Touch,NULL,NULL,You plus one additional willing creature touched per two caster levels,See text,0,0,None,Yes,"By freeing your spirit from your physical body, this spell allows you to project an astral body onto another plane altogether. You can bring the astral forms of other willing creatures with you, provided that these subjects are linked in a circle with you","<p>By freeing your spirit from your physical body, this spell allows you to project an astral body onto another plane altogether. You can bring the astral forms of other willing creatures with you, provided that these subjects are linked in a circle with ",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Astral Projection</p><div style=`clear: both;`></div></div><div><h5><b>School </b>necromancy; <b>Level </b>cleric 9, sorcerer/wizard 9, witch 9</h5><h5><b>Casting Time </b>30 mi",1,1,1,0,0,9,9,9,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,9,travel,Projects you and others onto Astral Plane.,153,162,NULL,NULL,153,1000,4825,8650,164750,http://www.d20pfsrd.com/magic/all-spells/a/astral-projection
28,Atonement,Abjuration,NULL,NULL,"cleric 5, druid 5, inquisitor 5",1 hour,"V, S, M (burning incense), F (a set of prayer beads or other prayer device worth at least 500 gp), DF",1,Touch,NULL,NULL,Living creature touched,Instantaneous,0,0,None,Yes,"This spell removes the burden of misdeeds from the subject. The creature seeking atonement must be truly repentant and desirous of setting right its misdeeds. If the atoning creature committed the evil act unwittingly or under some form of compulsion, ato","<p>This spell removes the burden of misdeeds from the subject. The creature seeking atonement must be truly repentant and desirous of setting right its misdeeds. If the atoning creature committed the evil act unwittingly or under some form of compulsion, ",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Atonement</p><div style=`clear: both;`></div></div><div><h5><b>School </b>abjuration; <b>Level </b>cleric 5, druid 5, inquisitor 5</h5><h5><b>Casting Time </b>1 hour</h5><h5><b>",1,1,1,0,1,NULL,NULL,5,5,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,5,purity,Removes burden of misdeeds from subject.,45,NULL,NULL,65,45,NULL,1125,2250,33750,http://www.d20pfsrd.com/magic/all-spells/a/atonement
29,Augury,Divination,NULL,NULL,"cleric 2, witch 2",1 minute,"V, S, M (incense worth at least 25 gp), F (a set of marked sticks or bones worth at least 25 gp)",1,Personal,NULL,NULL,You,Instantaneous,0,0,None,No,"An augury can tell you whether a particular action will bring good or bad results for you in the immediate future. The base chance for receiving a meaningful reply is 70% + 1% per caster level, to a maximum of 90%; this roll is made secretly. A question m","<p>An <i>augury</i> can tell you whether a particular action will bring good or bad results for you in the immediate future.</p><p>The base chance for receiving a meaningful reply is 70% + 1% per caster level, to a maximum of 90%; this roll is made secret",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Augury</p><div style=`clear: both;`></div></div><div><h5><b>School </b>divination; <b>Level </b>cleric 2, witch 2</h5><h5><b>Casting Time </b>1 minute</h5><h5><b>Components </b>",1,1,1,1,0,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,2,fate,Learns whether an action will be good or bad.,6,NULL,NULL,NULL,6,25,175,325,5750,http://www.d20pfsrd.com/magic/all-spells/a/augury
30,Awaken,Transmutation,NULL,NULL,druid 5,24 hours,"V, S, M (herbs and oils worth 2,000 gp), DF",1,Touch,NULL,NULL,Animal or tree touched,Instantaneous,0,0,Will negates,Yes,"You awaken a tree or animal to human-like sentience. To succeed, you must make a Will save (DC 10 + the animal's current HD, or the HD the tree will have once awakened). The awakened animal or tree is friendly toward you. You have no special empathy or co","<p>You awaken a tree or animal to human-like sentience. To succeed, you must make a Will save (DC 10 + the animal's current HD, or the HD the tree will have once awakened). The awakened animal or tree is friendly toward you. You have no special empathy or",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Awaken</p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation; <b>Level </b>druid 5</h5><h5><b>Casting Time </b>24 hours</h5><h5><b>Components </b>V, S, M",1,1,1,0,1,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,Animal or tree gains human intellect.,45,NULL,NULL,NULL,45,2000,3125,4250,133750,http://www.d20pfsrd.com/magic/all-spells/a/awaken
31,Bane,Enchantment,Compulsion,"fear, mind-affecting, emotion","cleric 1, inquisitor 1, antipaladin 1",1 standard action,"V, S, DF",0,50 ft.,"50-ft.-radius burst, centered on you",NULL,NULL,1 min./level,0,0,Will negates,Yes,Bane fills your enemies with fear and doubt. Each affected creature takes a -1 penalty on attack rolls and a -1 penalty on saving throws against fear effects. Bane counters and dispels bless.,<p><i>Bane</i> fills your enemies with fear and doubt. Each affected creature takes a -1 penalty on attack rolls and a -1 penalty on saving throws against fear effects. <i>Bane</i> counters and dispels <i>bless</i>.</p>,PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Bane </p><div style=`clear: both;`></div></div><div><h5><b>School </b>enchantment (compulsion) [fear, mind-affecting, emotion]; <b>Level </b>cleric 1, inquisitor 1, antipaladin ",1,1,0,0,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,1,curse,Enemies take 1 on attack rolls and saves against fear.,1,NULL,NULL,1,1,NULL,25,50,750,http://www.d20pfsrd.com/magic/all-spells/b/bane
32,Banishment,Abjuration,NULL,NULL,"cleric 6, sorcerer/wizard 7, summoner 5, inquisitor 5",1 standard action,"V, S, F (see text)",0,Close (25 ft. + 5 ft./2 levels),NULL,NULL,"One or more extraplanar creatures, no two of which can be more than 30 ft. apart",Instantaneous,0,0,Will negates,Yes,A banishment spell is a more powerful version of the dismissal spell. It enables you to force extraplanar creatures out of your home plane. As many as 2 Hit Dice of creatures per caster level can be banished. You can improve the spell's chance of success ,<p>A <i>banishment</i> spell is a more powerful version of the <i>dismissal</i> spell. It enables you to force extraplanar creatures out of your home plane. As many as 2 Hit Dice of creatures per caster level can be banished.</p><p>You can improve the spe,PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Banishment </p><div style=`clear: both;`></div></div><div><h5><b>School </b>abjuration; <b>Level </b>cleric 6, sorcerer/wizard 7, summoner 5, inquisitor 5</h5><h5><b>Casting Tim",1,1,0,1,0,7,7,6,NULL,NULL,NULL,NULL,NULL,5,NULL,5,NULL,NULL,NULL,NULL,7,NULL,Banishes 2 HD/level of extraplanar creatures.,66,98,45,65,45,NULL,1125,2250,33750,http://www.d20pfsrd.com/magic/all-spells/b/banishment
33,Barkskin,Transmutation,NULL,NULL,"druid 2, ranger 2, summoner 2, alchemist 2",1 standard action,"V, S, DF",0,Touch,NULL,NULL,Living creature touched,10 min./level,0,0,None,Yes (harmless),"Barkskin toughens a creature's skin. The effect grants a +2 enhancement bonus to the creature's existing natural armor bonus. This enhancement bonus increases by 1 for every three caster levels above 3rd, to a maximum of +5 at 12th level. The enhancement ","<p><i>Barkskin</i> toughens a creature's skin. The effect grants a +2 enhancement bonus to the creature's existing natural armor bonus. This enhancement bonus increases by 1 for every three caster levels above 3rd, to a maximum of +5 at 12th level.</p><p>",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Barkskin </p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation; <b>Level </b>druid 2, ranger 2, alchemist 2, summoner 2</h5><h5><b>Casting Time </b>1 st",1,1,0,0,1,NULL,NULL,NULL,2,2,NULL,NULL,2,2,NULL,NULL,NULL,NULL,NULL,NULL,2,"plant, defense",Grants +2 (or higher) enhancement to natural armor.,6,NULL,6,8,6,NULL,150,300,4500,http://www.d20pfsrd.com/magic/all-spells/b/barkskin
34,Bear's Endurance,Transmutation,NULL,NULL,"cleric 2, druid 2, ranger 2, sorcerer/wizard 2, summoner 2, alchemist 2, magus 2",1 standard action,"V, S, M/DF (a few hairs, or a pinch of dung, from a bear)",0,Touch,NULL,NULL,Creature touched,1 min./level,0,0,Will negates (harmless),Yes,"The affected creature gains greater vitality and stamina. The spell grants the subject a +4 enhancement bonus to Constitution, which adds the usual benefits to hit points, Fortitude saves, Constitution checks, and so forth. Hit points gained by a temporar","<p>The affected creature gains greater vitality and stamina. The spell grants the subject a +4 enhancement bonus to Constitution, which adds the usual benefits to hit points, Fortitude saves, Constitution checks, and so forth. Hit points gained by a tempo",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Bear's Endurance </p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation; <b>Level </b>cleric 2, druid 2, ranger 2, sorcerer/wizard 2, alchemist 2, summon",1,1,1,0,1,2,2,2,2,2,NULL,NULL,2,2,NULL,NULL,NULL,NULL,2,NULL,2,NULL,Subject gains +4 to Con for 1 min./level.,6,8,6,8,6,NULL,150,300,4500,http://www.d20pfsrd.com/magic/all-spells/b/bear-s-endurance
35,"Bear's Endurance, Mass",Transmutation,NULL,NULL,"cleric 6, druid 6, sorcerer/wizard 6, summoner 4, magus 6",1 standard action,"V, S, M/DF (a few hairs, or a pinch of dung, from a bear)",0,Close (25 ft. + 5 ft./2 levels),NULL,NULL,"Creature one creature/level, no two of which can be more than 30 ft. apart",1 min./level,0,0,Will negates (harmless),Yes,"Mass bear's endurance works like bear's endurance, except that it affects multiple creatures.","<p><i>Mass bear's endurance</i> works like <i>bear's endurance</i>, except that it affects multiple creatures.</p>",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Bear's Endurance, Mass</p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation; <b>Level </b>cleric 6, druid 6, sorcerer/wizard 6, summoner 4, magus 6</h5>",1,1,1,0,1,6,6,6,6,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,6,NULL,6,NULL,"As bears endurance, affects 1 subject/level.",66,72,28,NULL,28,NULL,700,1400,21000,http://www.d20pfsrd.com/magic/all-spells/b/bear-s-endurance
36,Beast Shape I,Transmutation,Polymorph,NULL,"sorcerer/wizard 3, alchemist 3, magus 3",1 standard action,"V, S, M (a piece of the creature whose form you plan to assume)",0,Personal,NULL,NULL,You,1 min./level,1,0,None,No,"When you cast this spell, you can assume the form of any Small or Medium creature of the animal type. If the form you assume has any of the following abilities, you gain the listed ability: climb 30 feet, fly 30 feet (average maneuverability), swim 30 fee","<p>When you cast this spell, you can assume the form of any Small or Medium creature of the animal type. If the form you assume has any of the following abilities, you gain the listed ability: climb 30 feet, fly 30 feet (average maneuverability), swim 30 ",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Beast Shape I</p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation (polymorph); <b>Level </b>sorcerer/wizard 3, alchemist 3, magus 3</h5><h5><b>Casting ",1,1,1,0,0,3,3,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,3,NULL,3,fur,You take the form and some of the powers of a Small or Medium animal.,15,18,15,NULL,15,NULL,375,750,11250,http://www.d20pfsrd.com/magic/all-spells/b/beast-shape-i#TOC-Beast-Shape-I
37,Beast Shape II,Transmutation,Polymorph,NULL,"sorcerer/wizard 4, alchemist 4, magus 4",1 standard action,"V, S, M (a piece of the creature whose form you plan to assume)",0,Personal,NULL,NULL,You,1 min./level,1,0,None,No,"This spell functions as beast shape I, except that it also allows you to assume the form of a Tiny or Large creature of the animal type. If the form you assume has any of the following abilities, you gain the listed ability: climb 60 feet, fly 60 feet (go","<p>This spell functions as beast shape I, except that it also allows you to assume the form of a Tiny or Large creature of the animal type. If the form you assume has any of the following abilities, you gain the listed ability: climb 60 feet, fly 60 feet ",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Beast Shape II</p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation (polymorph); <b>Level </b>sorcerer/wizard 4, alchemist 4, magus 4</h5><h5><b>Casting",1,1,1,0,0,4,4,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,4,NULL,4,NULL,You take the form and some of the powers of a Tiny or Large animal.,28,32,28,NULL,28,NULL,700,1400,21000,http://www.d20pfsrd.com/magic/all-spells/b/beast-shape-i#TOC-Beast-Shape-II
